"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people who were Hispanic or Latino, bet"
"26081001200, MI","26081001200","=""26081001200""","6.80"
"26081001300, MI","26081001300","=""26081001300""","21.69"
"26081001400, MI","26081001400","=""26081001400""","7.64"
"26081002000, MI","26081002000","=""26081002000""","4.58"
"26081002100, MI","26081002100","=""26081002100""","6.12"
"26081002200, MI","26081002200","=""26081002200""","5.28"
"26081002300, MI","26081002300","=""26081002300""","4.59"
"26081002600, MI","26081002600","=""26081002600""","72.10"
"26081002900, MI","26081002900","=""26081002900""","4.28"
"26081003000, MI","26081003000","=""26081003000""","15.04"
"26081003900, MI","26081003900","=""26081003900""","76.67"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
