"Census Tract","FIPS Code","Formatted FIPS","Average annual dollars spent out of pocket per person on medical"
"26081001200, MI","26081001200","=""26081001200""","830"
"26081001300, MI","26081001300","=""26081001300""","670"
"26081001400, MI","26081001400","=""26081001400""","780"
"26081002000, MI","26081002000","=""26081002000""","800"
"26081002100, MI","26081002100","=""26081002100""","840"
"26081002200, MI","26081002200","=""26081002200""","740"
"26081002300, MI","26081002300","=""26081002300""","1110"
"26081002600, MI","26081002600","=""26081002600""","480"
"26081002900, MI","26081002900","=""26081002900""","800"
"26081003000, MI","26081003000","=""26081003000""","720"
"26081003900, MI","26081003900","=""26081003900""","480"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: PolicyMap and Quantitative Innovations"
"https://www.policymap.com/data/our-data-directory/#PolicyMap,%20QI,%20AHRQ,%20Census"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
