"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of adults ever diagnosed with high blood press"
"26081002800, MI","26081002800","=""26081002800""","32.6"
"26081003100, MI","26081003100","=""26081003100""","35.1"
"26081003200, MI","26081003200","=""26081003200""","36.3"
"26081003500, MI","26081003500","=""26081003500""","32.5"
"26081003600, MI","26081003600","=""26081003600""","32.5"
"26081003700, MI","26081003700","=""26081003700""","32.5"
"26081003800, MI","26081003800","=""26081003800""","23.5"
"26081004000, MI","26081004000","=""26081004000""","24.4"
"26081004100, MI","26081004100","=""26081004100""","28.9"
"26081004200, MI","26081004200","=""26081004200""","28.0"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: PolicyMap & CDC BRFSS"
"https://www.policymap.com/data/our-data-directory/#CDC%20Behavioral%20Risk%20Factor%20Surveillance%20System"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
