"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of adults reporting a physical checkup in the "
"26081002800, MI","26081002800","=""26081002800""","79.2"
"26081003100, MI","26081003100","=""26081003100""","81.0"
"26081003200, MI","26081003200","=""26081003200""","81.6"
"26081003500, MI","26081003500","=""26081003500""","79.7"
"26081003600, MI","26081003600","=""26081003600""","79.8"
"26081003700, MI","26081003700","=""26081003700""","79.5"
"26081003800, MI","26081003800","=""26081003800""","73.6"
"26081004000, MI","26081004000","=""26081004000""","74.0"
"26081004100, MI","26081004100","=""26081004100""","76.7"
"26081004200, MI","26081004200","=""26081004200""","76.8"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: PolicyMap & CDC BRFSS"
"https://www.policymap.com/data/our-data-directory/#CDC%20Behavioral%20Risk%20Factor%20Surveillance%20System"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
