"Census Tract","FIPS Code","Formatted FIPS","Population in 2020."
"26081001104, MI","26081001104","=""26081001104""","1899"
"26081001200, MI","26081001200","=""26081001200""","3272"
"26081001300, MI","26081001300","=""26081001300""","3601"
"26081001400, MI","26081001400","=""26081001400""","2648"
"26081002000, MI","26081002000","=""26081002000""","3211"
"26081002100, MI","26081002100","=""26081002100""","3076"
"26081002200, MI","26081002200","=""26081002200""","5368"
"26081002300, MI","26081002300","=""26081002300""","4106"
"26081002600, MI","26081002600","=""26081002600""","4047"
"26081002900, MI","26081002900","=""26081002900""","1526"
"26081003000, MI","26081003000","=""26081003000""","1725"
"26081003900, MI","26081003900","=""26081003900""","3376"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
