"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were Black or African American in 2020"
"26081001104, MI","26081001104","=""26081001104""","33.49"
"26081001200, MI","26081001200","=""26081001200""","10.85"
"26081001300, MI","26081001300","=""26081001300""","28.71"
"26081001400, MI","26081001400","=""26081001400""","13.67"
"26081002000, MI","26081002000","=""26081002000""","18.22"
"26081002100, MI","26081002100","=""26081002100""","12.32"
"26081002200, MI","26081002200","=""26081002200""","11.14"
"26081002300, MI","26081002300","=""26081002300""","4.63"
"26081002600, MI","26081002600","=""26081002600""","17.32"
"26081002900, MI","26081002900","=""26081002900""","23.98"
"26081003000, MI","26081003000","=""26081003000""","33.57"
"26081003900, MI","26081003900","=""26081003900""","12.59"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
