"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of people with one or more disabilities, betwe"
"26081002800, MI","26081002800","=""26081002800""","19.12"
"26081003100, MI","26081003100","=""26081003100""","15.82"
"26081003200, MI","26081003200","=""26081003200""","16.78"
"26081003500, MI","26081003500","=""26081003500""","16.09"
"26081003600, MI","26081003600","=""26081003600""","14.33"
"26081003700, MI","26081003700","=""26081003700""","13.47"
"26081003800, MI","26081003800","=""26081003800""","7.91"
"26081004000, MI","26081004000","=""26081004000""","12.62"
"26081004100, MI","26081004100","=""26081004100""","9.23"
"26081004200, MI","26081004200","=""26081004200""","12.57"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
